lead_id,place_name,website_url,source_query,sendable,need,demo URL,sent_at,channel,template_version,status,reply_at,replied,converted,revenue,notes,name,place_url,raw_place_url,place_search_url,source,excluded_reason,collected_at,need_reason,auto_flag,place_name_clean,name_source,name_confidence,home_url,js_required,name_score,name_fallback_reason,name_clean,name_clean_source,name_clean_confidence
0000,Be Here Now,http://beherenow.jp/news/index,博多区 スピリチュアルカウンセリング -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,2,,,,,,,,,,,,,,,,,,,,福岡の心理カウンセリング、コーチングならビーヒアナウ,website_home_title,0.828,http://beherenow.jp/,0,4.1,,福岡の心理カウンセリング、コーチングならビーヒアナウ,fallback_place_name_clean,0.6
0001,心理オフィスK,https://s-office-k.com/network/network_kyusyu?srsltid=AfmBOopUahh-WjrBUDjLCcKy9NYNV2-iWZJQs1UixPiib4EQw-FZJkBU,六本松 スピリチュアルカウンセリング -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,カウンセリング機関ネットワーク（九州・沖縄）,fallback_original_no_candidate,0.2,https://s-office-k.com/,0,0,thin_or_error_html,カウンセリング機関ネットワーク（九州・沖縄）,fallback_place_name_clean,0.6
0002,ヒプノセラピーマイコエル,https://maikoel.jimdofree.com/,香椎 ヒプノセラピー 自宅サロン サロン -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,ヒプノセラピーって？,fallback_original_blocked,0.2,https://maikoel.jimdofree.com/,0,0,http_403_or_429,ヒプノセラピーって？,fallback_place_name_clean,0.6
0003,JOYLE,https://joyledays.com/self-energy-work/,博多区 エネルギーワーク 個人 完全予約制 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,JOYLE,fallback_original_no_candidate,0.2,https://joyledays.com/,0,0,thin_or_error_html,JOYLE,fallback_place_name_clean,0.6
0004,内山みゆきヒーリング研究室,https://uchiyama-miyuki.com/,六本松 スピリチュアルカウンセリング 隠れ家 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,2,,,,,,,,,,,,,,,,,,,,スピリチュアライズ講座とカウンセリング,fallback_original_no_candidate,0.2,https://uchiyama-miyuki.com/,0,0,thin_or_error_html,スピリチュアライズ講座とカウンセリング,fallback_place_name_clean,0.6
0005,心理オフィスK,https://s-office-k.com/network/network_kyusyu?srsltid=AfmBOopWv_9RNo1uHwju6gNn8iWRJWsnieGFhncLqUhnj0gKkrJws9rF,藤崎 スピリチュアルカウンセリング -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,カウンセリング機関ネットワーク（九州・沖縄）,fallback_original_no_candidate,0.2,https://s-office-k.com/,0,0,thin_or_error_html,カウンセリング機関ネットワーク（九州・沖縄）,fallback_place_name_clean,0.6
0006,前向き気づき日記,https://www.maemuki-k.com/entry/2023/10/27/221602,花畑 潜在意識 個人 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -福岡市 -博多区 -中央区 -天神 -薬院 -大名 -六本松 -藤崎 -香椎,,1,,,,,,,,,,,瞑想でハイヤーセルフからのサポートを受ける〜五次元の世界,https://www.google.com/maps/search/?api=1&query=%E7%9E%91%E6%83%B3%E3%81%A7%E3%83%8F%E3%82%A4%E3%83%A4%E3%83%BC%E3%82%BB%E3%83%AB%E3%83%95%E3%81%8B%E3%82%89%E3%81%AE%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%82%92%E5%8F%97%E3%81%91%E3%82%8B%E3%80%9C%E4%BA%94%E6%AC%A1%E5%85%83%E3%81%AE%E4%B8%96%E7%95%8C+%E7%A6%8F%E5%B2%A1,,https://www.google.com/maps/search/?api=1&query=%E7%9E%91%E6%83%B3%E3%81%A7%E3%83%8F%E3%82%A4%E3%83%A4%E3%83%BC%E3%82%BB%E3%83%AB%E3%83%95%E3%81%8B%E3%82%89%E3%81%AE%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%82%92%E5%8F%97%E3%81%91%E3%82%8B%E3%80%9C%E4%BA%94%E6%AC%A1%E5%85%83%E3%81%AE%E4%B8%96%E7%95%8C+%E7%A6%8F%E5%B2%A1,serpex_search,,2026-02-21 15:59:29,,ok_candidate,瞑想でハイヤーセルフからのサポートを受ける〜五次元の世界,fallback_original_no_candidate,0.2,https://www.maemuki-k.com/,0,0,thin_or_error_html,五次元の世界,normalized_from_split,0.9
0007,めぐりゆくもの,https://meguriyukumono.wixsite.com/mysite,香椎 ヒプノセラピー 自宅サロン サロン -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,2,,,,,,,,,,,,,,,,,,,,ヒプノセラピー,fallback_original_no_candidate,0.2,https://meguriyukumono.wixsite.com/,0,0,http_404,ヒプノセラピー,fallback_place_name_clean,0.6
0008,Style Imagery,https://style-imagery.net/seitai/,西鉄久留米 エネルギーワーク 女性専用 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -福岡市 -博多区 -中央区 -天神 -薬院 -大名 -六本松 -藤崎 -香椎,,2,,,,,,,,,,,エネルギーワーク（遠隔ヒーリング）,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%EF%BC%88%E9%81%A0%E9%9A%94%E3%83%92%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%EF%BC%89+%E7%A6%8F%E5%B2%A1,,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%EF%BC%88%E9%81%A0%E9%9A%94%E3%83%92%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%EF%BC%89+%E7%A6%8F%E5%B2%A1,serpex_search,,2026-02-21 16:01:34,,ok_candidate,周波数セラピー,website_home_h1,0.932,https://style-imagery.net/,0,5.4,,エネルギーワーク（遠隔ヒーリング）,normalized_from_raw,0.9
0009,ジョイカウンセリングスクール,https://www.iyasi-tukurimasu.com/blog/about-art-therapy/,博多区 スピリチュアルカウンセリング -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,2,,,,,,,,,,,,,,,,,,,,アートセラピーとは？心理的効果・種類・やり方・学び方を専門家が解説,fallback_original_no_candidate,0.2,https://www.iyasi-tukurimasu.com/,0,0,thin_or_error_html,アートセラピーとは？心理的効果・種類・やり方・学び方を専門家が解説,fallback_place_name_clean,0.6
